,position_name,employer_name,area,experience,schedule,employment,professional_roles,salary,description,key_skills
709,Data engineer Middle,билайн,Москва,От 1 года до 3 лет,Удаленная работа,Полная занятость,Другое,null,"<p>Сегодня <strong>билайн</strong> — компания изменений, чутко реагирующая на потребности рынка и людей. А ещё <strong>билайн</strong> — это команда, объединённая общими ценностями и общей целью — быть лидером телеком и digital рынков, предоставляя нашим клиентам новейшие продукты и услуги, а также сервис самого высокого уровня.</p> <p><strong>Итак, вам предстоит:</strong></p> <ul> <li>Анализ требований к витринам данных (взаимодействие с владельцем продукта, BI-разработчиками, data scientist-ами)</li> <li>Поиск и исследование источников данных для последующей интеграции</li> <li>Оценка пригодности, качества исходных данных</li> <li>Разработка ETL процессов на Spark</li> <li>Оркестрация ETL процессов в Airflow</li> <li>Проектирование баз данных</li> <li>Создание конвейеров данных NiFi</li> </ul> <strong>Мы будем рады рассмотреть вашу кандидатуру, если у вас есть:</strong> <ul> <li>Любит работать в команде и умеет это делать</li> <li>Проработал от 1 года и более в таких областях как: коммуникационные технологии, безопасность, маркетинг и продажи, финансы.</li> <li>Знает SQL на высоком уровне (в т. ч. DDL, табличные выражения, оконные функции)</li> <li>Работал с Hive, PostgreSQL</li> <li>Умеет разрабатывать ETL процессы Spark на Scala (потоковая обработка как преимущество)</li> <li>Пользовался AirFlow или другими оркестраторами – Oozie, Luigi, ну или cron</li> <li>Может что-то написать на Python – в объеме чтобы пользоваться AirFlow или еще круче</li> <li>Имеет опыт потоковой разработки конвейеров данных в NiFi или Flink</li> <li>Интересуется Flink, пробовал применять его в проектах</li> <li>Умеет проектировать базы данных (знает Data Vault 2.0 например)</li> <li>Понимает принципы работы реляционных СУБД и HDFS</li> <li>Имеет представление о колоночных и NoSQL СУБД</li> <li>Понимает подходы к работе с качеством данных</li> <li>Применяет системный подход к работе, думает о конечной бизнес-задаче, мыслит логически, уделяет внимание деталям</li> </ul> <p><strong>Наш стек:</strong></p> <ul> <li>Scala / Python</li> <li>Hadoop (hdfs, hive)</li> <li>Apache</li> </ul> <strong>Условия:</strong> <ul> <li>Трудоустройство в аккредитованную ИТ-компанию;</li> <li>Удаленный формат работы;</li> <li>Сильную команду специалистов, с которой можно расти;</li> <li>Свободу в принятии решений, возможность влиять на процесс и результат;</li> <li>Развитое внутреннее DE комьюнити (chapter из 150+ человек) с регулярными митапами и встречами по обмену опытом;</li> <li>Ежегодный процесс ревью;</li> <li>Десятки Пбайт разнообразных данных - от классических табличных до гео, графов, кликстримов, текстов и картинок;</li> <li>Внешнее и внутреннее обучение, участие в митапах и конференциях;</li> <li>Полис добровольного медицинского страхования, обслуживаемый в лучших клиниках;</li> <li>Корпоративные скидки на фитнес, обучение, путешествия и т.п.</li> <li>Служебную сотовую связь.</li> </ul> <p> </p>","['SQL', 'Data', 'Hadoop', 'Scala', 'Airflow', 'PostgreSQL', 'NoSQL', 'СУБД', 'Hive', 'Spark', 'Oozie', 'Luigi', 'NiFi', 'Flink']"
710,Data scientist,Brandquad,Москва,От 3 до 6 лет,Удаленная работа,Полная занятость,Дата-сайентист,null,"<strong>Обязанности:</strong> <ul> <li>Подготавливать данные.</li> <li>Анализировать данные и проверять гипотезы при помощи инструментов программирования и анализа данных;</li> <li>Формировать предложений по решению бизнес-задач аналитическими способами/методами.</li> <li>Участвовать в развитии инструментов анализа данных;</li> <li>Подготавливать требования на доработки источников данных;</li> <li>Ставить эксперименты, выбирать методы и модели машинного обучения для решения конкретных задач.</li> <li>Решать ML-задачи от постановки до внедрения.</li> <li>Работать с текстом, применять классические и современные методы NLP.</li> <li>Взаимодействовать со смежными командами менеджеров, аналитиков и разработчиков.</li> <li>Подготавливать презентации результатов работы бизнесу.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Высшее техническое/экономическое образование;</p> </li> <li> <p>Опыт работы по направлению аналитики не менее 1 года;</p> </li> <li> <p>Опыт анализа больших объемов данных;</p> </li> <li> <p>Опыт применения алгоритмов для поиска закономерностей в данных.</p> </li> <li> <p>Знание инструментов аналитики и моделирования.</p> </li> <li> <p>Отличные навыки работы с SQL (аналитические функции, под запросы, оптимизация запросов);</p> </li> <li> <p>Навыки работы с кодом на базовом уровне (написание, отладка и тестирование кода) Python;<br />уверенное владение excel, умение работать с умными таблицами и сводными таблицами.</p> </li> <li> <p>Хороший уровень работы c СУБД (PostgreSQL, Clickhouse);</p> </li> <li> <p>Опыт работы с Git, JIRA, Confluence.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Перспективы профессионального и карьерного роста;</li> <li>Молодой и дружный коллектив, постоянное обучение по продуктам компании;</li> <li>Стабильная заработная плата;</li> <li>Официальное трудоустройство по ТК РФ;</li> <li>График работы 5/2 с 9 до 18 или с 10 до 19, удаленный формат работы.</li> </ul>","['MS SQL', 'PostgreSQL', 'Аналитические исследования', 'СУБД', 'Анализ данных', 'Data Scientist', 'NLP']"
711,Product/Data analyst Middle/Senior,Finlead Team,Москва,От 3 до 6 лет,Удаленная работа,Полная занятость,Аналитик,null,"<p>Мы, <strong>Finlead.team </strong>— международная компания с более чем 5-летним опытом создания маржинальных продуктов для финансовой вертикали и успешного привлечения клиентов. Наши инновационные решения позволяют нам удерживать лидерские позиции на рынке и выстраивать долгосрочные партнерские отношения.</p> <p>Для достижения новых высот нам в команду нужен вовлеченный <strong>Product/Data analyst</strong>.</p> <p><strong>С чем предстоит работать:</strong></p> <ul> <li> <p>Лидирование разметки, сбора, обработки и анализ данных продукта с целью определения ключевых метрик</p> </li> <li> <p>Создание отчетов, дашбордов и визуализаций для представления результатов анализа и мониторинга ключевых маркетинговых, продуктовых и бизнес метрик</p> </li> <li> <p>Сотрудничество с командой продукта, разработки и др. отделами для реализации улучшений и новых функций продукта</p> </li> <li> <p>Проведение исследований пользовательского поведения и использования продукта для выявления гипотез, возможных улучшений и оптимизации</p> </li> <li> <p>A/B-тесты (web и mobile) - дизайн, проведение, анализ результатов;</p> </li> <li> <p>Ресерч причин изменений в динамиках метрик</p> </li> <li> <p>Проектирование структур метрик для оценки новых фичей и продукта в целом</p> </li> <li> <p>Отслеживание и прогнозирование поведения метрик, выявление ключевых факторов влияния на метрики и возможности их изменения</p> </li> </ul> <p><strong>Мы ожидаем:</strong></p> <ul> <li> <p>Опыт работы data или product аналитиком не менее 3 лет</p> </li> <li> <p>Опыт работы в мобильной и веб продуктовой аналитике</p> </li> <li> <p>Знания математической статистики и теории вероятности для работы с А/B тестированием и валидацией продуктовых гипотез</p> </li> <li> <p>Хорошее знание SQL и опыт работы с базами данных</p> </li> <li> <p>Опыт визуализации данных в BI-инструменте (Tableau, Amplitude, Looker Studio (Google Data Studio), DataLens, Power BI)</p> </li> <li> <p>Отличное знание инструментов Excel/Google Sheets</p> </li> <li> <p>Понимание продуктовых метрик и процессов</p> </li> <li> <p>Умение интерпретировать результаты и делать выводы</p> </li> <li> <p>Отличные коммуникативные навыки и умение работать в команде</p> </li> </ul> <p><strong>Будет плюсом если:</strong></p> <ul> <li> <p>Вы<strong> </strong>знаете Pyhton (библиотеки для анализа данных, мат. статистики и работы с БД)</p> </li> <li> <p>У вас есть опыт работы в арбитражной (media buying) команде по закупке трафика</p> </li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li> <p>Работу в быстрорастущей компании над международным продуктом</p> </li> <li> <p>Возможность вертикального и горизонтального роста внутри компании</p> </li> <li> <p>Конкурентоспособную заработную плату и бонусы</p> </li> <li> <p>Комфортную дружелюбную рабочую атмосферу и отсутствие бюрократии</p> </li> <li> <p>Удаленную работу из любой точки мира. Гибкое начало рабочего дня с 9 до 11 Мск.</p> </li> </ul> <p> </p>",[]
712,Middle Data Analyst,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),Алматы,От 1 года до 3 лет,Полный день,Полная занятость,Аналитик,null,"<p>Мы верим, что новое качество жизни можно нести через реализацию потенциала современных цифровых услуг. Мы первые третий год подряд по скорости и покрытию связи среди операторов Казахстана по версии Ookla. Мы также лучший работодатель страны по версии премии «HR-бренд Центральная Азия».</p> <p>Мы не боимся менять правила и ставить амбициозные задачи. Всегда требовательны к себе: результатом нашей работы пользуются друзья, близкие, миллионы абонентов по всей стране — и мы сами. У нас принято делиться знаниями, подходами в работе и удачными решениями. Поэтому мы устраиваем внутренние и внешние митапы, ездим с докладами по разным городам и странам.</p> <p><strong>Нужно уметь</strong><strong>:</strong></p> <ul> <li>Разрабатывать и реализовывать стратегий анализа данных для оптимизации работы с клиентской базой.</li> <li>Анализировать сложные данные, интерпретировать результаты и предоставлять стратегические рекомендаций.</li> <li>Работать с ключевыми заинтересованными сторонами для понимания бизнес-потребностей и формулирования аналитических запросов.</li> <li>Разрабатывать и внедрять усовершенствованные методы анализа данных, включая машинное обучение и предиктивную аналитику.</li> </ul> <p><em>Должность предполагает работу с конфиденциальной абонентской информацией</em></p> <p><strong>Нас интересует:</strong></p> <ul> <li>Опыт работы в области анализа данных не менее 3 лет.</li> <li>Глубокие знания SQL, опыт работы с большими и сложными базами данных.</li> <li>Продвинутые навыки в использовании инструментов визуализации данных (например, Tableau, Power BI).</li> <li>Опыт программирования Python для анализа данных.</li> <li>Опыт создания и управления моделями предсказательной аналитики и статистического анализа.</li> <li>Желательно иметь опыт работы в телекоммуникационной отрасли и знание специфики работы с клиентскими базами.</li> </ul> <p><strong>Зарплата - это еще не всё</strong><strong>:</strong></p> <ul> <li>Гибридный формат работы и гибкое начало рабочего дня;</li> <li>Профессиональное развитие: участие в митапах, тренингах, конференциях, демо-днях и хакатонах;</li> <li>Дополнительные 4 дня отпуска — итого 28 календарных дней за год;</li> <li>Годовой бонус по результатам достижения KPI;</li> <li>Корпоративная сотовая связь;</li> <li>Добровольная медицинская страховка со стоматологией и лекарствами с возможностью бесплатно добавить двух близких родственников;</li> <li>Фитнес-абонементы со скидкой и в рассрочку;</li> <li>Денежная компенсация за использование личного ноутбука;</li> <li>Онлайн-платформа бесплатной психологической помощи;</li> <li>Доступ к корпоративной онлайн-библиотеке MyBook.</li> </ul>",[]
713,Data-инженер,Т-Банк,Омск,От 1 года до 3 лет,Полный день,Полная занятость,"Программист, разработчик",null,"<p>Мы создаем собственную платформу данных, которая включает в себя инструменты по получению, обработке, загрузке и визуализации данных. С помощью этих инструментов мы каждый день загружаем терабайты информации в единое хранилище данных (DWH), приводим ее к удобному виду, предоставляем нашим пользователям и даем возможность строить важные отчеты, графики, проводить анализ. Часть из этих инструментов мы разрабатываем с нуля, другую часть разрабатываем на основе opensource решений, таких как <em>Apache</em> <em>Airflow</em>, <em>NiFi</em>, <em>Zepellin</em>, <em>Flink</em> и других. В нашу команду нужны талантливые дата-инженеры, которые будут развивать продукты Data Platform.</p> <p><strong>Обязанности</strong></p> <ul> <li>Участие в разработке ядра продуктов Data Platform</li> <li>Разработка и оптимизация процессов выгрузки данных</li> </ul> <p><strong>Требования</strong></p> <ul> <li>Знание одного из языков программирования: <em>Python</em>, Java, Go</li> <li>Знание основ ООП, теории алгоритмов, структур данных</li> <li>Знание <em>SQL</em></li> <li>Опыт написания процессов загрузки данных (ETL)</li> <li>Будет плюсом знакомство с современными системами хранения данных: MPP, No<em>SQL</em></li> <li>Будет плюсом знакомство с: Pandas, Numpy, Groovy</li> <li>Исследовательский склад ума, любознательность, широкий кругозор, желание изучать новые технологии</li> </ul> <strong>Условия:</strong> <ul> <li>Работу в офисе или гибридный формат — по договоренности с руководителем</li> <li>Платформу обучения и развития «Т-банк Апгрейд». Курсы, тренинги, вебинары и базы знаний. Поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии</li> <li>Комплексную программу заботы о здоровье. Оформим полис ДМС с широким покрытием и страховку от несчастных случаев. Предложим льготные условия страхования для ваших близких</li> <li>Линейку льготных тарифов на продукты Т-банка</li> <li>Частичную компенсацию затрат на спорт</li> <li>Well-being-программу, которая помогает улучшить психологическое и физическое здоровье, а также разобраться с юридическими и финансовыми вопросами</li> <li>Три дополнительных дня отпуска в год</li> <li>Достойную зарплату — обсудим ее на собеседовании</li> </ul>","['ETL', 'Python', 'DWH', 'Хранилище данных', 'SQL', 'Airflow']"
714,Руководитель команды core-витрин в Data Platform,VK,Москва,От 3 до 6 лет,Полный день,Полная занятость,"BI-аналитик, аналитик данных",null,"<p>Data Platform VK — команда, в которой DS-специалисты и аналитики работают над сервисами, помогающими развиваться проектам VK. Мы внедряем BI-системы, обеспечиваем аналитику группы, централизуем ключевые аудиторные показатели и строим платформу A/B-тестирования.</p> <p><strong>Задачи:</strong></p> <ul> <li>выстроить взаимодействие команды с другими бизнес-юнитами и стейкхолдерами в группе компаний;</li> <li>собирать, анализировать и формализовать требования заказчиков из различных бизнес-подразделений;</li> <li>создать стратегию data governance и развивать алгоритмы проверки качества, полноты;</li> <li>проектировать модель данных, описывать алгоритмы обработки данных;</li> <li>участвовать в построении архитектуры и схем взаимодействий;</li> <li>вести документацию и поддерживать её в актуальном состоянии;</li> <li>выступать в роли играющего тренера для команды, проводить ревью задач, растить компетенции сотрудников команды.</li> </ul> <p><strong>Стек технологий:</strong> YTsaurus, Hadoop, Vertica, ClickHouse, Superset, DataLens, Kafka, Spark, Airflow.</p> <p><strong>Требования:</strong></p> <ul> <li>опыт работы с данными с помощью базовых инструментов (SQL, Python + базовые библиотеки);</li> <li>опыт участия в разработке или внедрении хранилища данных;</li> <li>знание принципов управления данными (Data Governance);</li> <li>опыт разработки автоматизированных проверок качества данных;</li> <li>системное мышление, умение быстро разбираться в новых системах и процессах;</li> <li>умение применять математическую статистику, теорию вероятностей и базовый матанализ для решения задач бизнеса через данные;</li> <li>понимание основных принципов построения DWH, СУБД;</li> <li>способность к критическому мышлению, умение найти суть проблемы и предложить системное решение;</li> <li>опыт работы аналитиком в DWH крупной IT-компании;</li> <li>опыт управления командой из 5–10 человек.</li> </ul>","['SQL', 'Python']"
715,Data scientist,М.Видео-Эльдорадо,Москва,От 3 до 6 лет,Удаленная работа,Полная занятость,Дата-сайентист,null,"<p><strong>«М.ТЕХ» - АККРЕДИТОВАННАЯ ИТ-КОМПАНИЯ В ГРУППЕ «М.ВИДЕОЭЛЬДОРАДО»</strong></p> <p><strong>КОМАНДА «М.ТЕХ»</strong> разрабатывает более 100 инновационных ИТпродуктов на основе современной микросервисной и облачной инфраструктуры, больших данных, биометрии, ИИ и машинного</p> <p>обучения для улучшения качества жизни десятков тысяч сотрудников и миллионов покупателей по всей России.</p> <p><strong>Data Science</strong> направление в MTech делится на несколько команд, между которыми возможна ротация:</p> <p>• Команда DS платформы (Рекомендательные системы, Прогноз спроса, Feature Store, ML Ops инициативы, задачи маркетинга: Uplift, сегментация клиентов, программа лояльности и т.п.)</p> <p>• Команда платформы дата-моделей Бизнес юнита (Ассортимент, Ценообразование, Промо)</p> <p>• Команда NLP и CV (Текстовая аналитика, Видео-аналитика) Сейчас мы активно ищем DS специалистов на развитие моделей прогноза спроса и моделированию эффективности промо акций.</p> <p><strong>СТЕК: </strong>Postgres, DS/ML библиотеки (CatBoost, XGBoost, LightGBM, Prophet, W2V), Docker, Python, FastAPI, Apache Airflow и Gitlab CI/CD, Streamlit/Plotly Dash</p> <p><strong>ЧТО ТЕБЯ ЖДЁТ:</strong></p> <ul> <li>Прогноз спроса для цепочек поставок</li> <li>Моделирование эффективности промоакций</li> <li>Ассортиментное планирование</li> <li>Задачи ценообразования (Модели эластичности спроса от цены, Сервис подбора товаров-аналогов)</li> </ul> <p><strong>ЧТО МЫ ОЖИДАЕМ ОТ КАНДИДАТА:</strong></p> <ul> <li>Хорошо владеешь инструментами DS/ML (знаешь теорию и практику);</li> <li>Знаешь SQL (Postgres)</li> <li>Имеешь опыт применения DS/ML в реальных задачах, где твоя работа принесла пользу бизнесу;</li> <li>Хорошо владеешь Python (DS/ML библиотеки, ООП, Docker, FastAPI);</li> <li>Пишешь аккуратный код по PEP8 и не забиваешь на документацию;</li> <li>Можешь сделать дашборд на Streamlit/Plotly Dash;</li> <li>Имеешь опыт работы с Apache Airflow и Gitlab CI/CD;</li> </ul> <p><strong>ЧТО ТЫ ПОЛУЧИШЬ:</strong></p> <ul> <li>Продукты, признанные на рынке (несколько премий за Лучший Интранет, хит-парад премий за лучшее ИТ-решение в ритейле) и имеющие амбициозные планы на развитие;</li> <li>Конструктивный диалог и возможность внедрять свои идеи, если они способствуют достижению общего результата;</li> <li>Команду увлеченных профессионалов, которая открыта к поиску нового;</li> <li>Конкурентную заработную плату, гибкое отношение к рабочему месту (посещение офиса на м. Красносельская в Москве на гибриде, но ты можешь работать удаленно из любой точки):</li> <li>Приятные скидки в магазинах М.Видео-Эльдорадо;</li> <li>ДМС со стоматологией.</li> </ul>",[]
716,Data Analyst,ГК ФСК,Москва,От 3 до 6 лет,Удаленная работа,Полная занятость,"BI-аналитик, аналитик данных",null,"<p>О компании и команде:</p> <p><strong>Группа компаний ФСК </strong>– многопрофильная вертикально-интегрированная де<em>вело</em>перская компания. В структуру ГК входят крупные промышленные и высокотехнологичные предприятия, а также лидеры монолитного и индустриального домостроения. Компания обладает высоким уровнем экспертности на всех ключевых этапах цепочки создания стоимости в де<em>вело</em>перских проектах, от проектирования до реализации объектов недвижимости.<br /><br />В 2023 году ГК ФСК снова подтвердила статус одного из лучших работодателей страны, заняв <strong>1 место</strong> среди компаний отрасли и лидирующие позиции в топ-10 в категории «золото» рейтинга делового издания Forbes.<br />В 2023 году ГК ФСК также попала в рейтинг портала HeadHunter. Компания вошла в топ-100 лучших работодателей страны и в топ-10 среди компаний сферы строительства и недвижимости, обосновавшись на <strong>6 месте</strong>.</p> <p>Вакансия открыта в IT-департаменте ГК ФСК.</p> <p>Мы ищем опытного Data Analyst для работы над проектом в строительном комплексе. Основной задачей на первом этапе будет построение дерева метрик, которое позволит анализировать и контролировать ключевые показатели эффективности (KPI) для различных аспектов деятельности компании. В дальнейшем ваша роль будет связана с анализом данных, поддержкой и развитием системы управления метриками в рамках строительных проектов.</p> <p><strong>Зона ответственности:</strong></p> <ul> <li>Сбор и анализ бизнес-требований для определения ключевых метрик и показателей эффективности в строительной сфере.</li> <li>Проектирование и создание структуры дерева метрик, охватывающей финансовые, операционные, проектные, безопасностные и устойчивые показатели.</li> <li>Сбор, обработка и анализ данных из различных источников для построения системы метрик.</li> <li>Разработка алгоритмов и моделей для автоматизации процесса мониторинга и анализа метрик.</li> <li>Создание отчетности и дашбордов для визуализации данных, предоставление аналитических инсайтов руководству.</li> <li>Взаимодействие с командой архитекторов данных, разработчиков и бизнес-аналитиков для обеспечения интеграции данных и соответствия метрик бизнес-требованиям.</li> <li>Постоянный мониторинг и оптимизация системы метрик для повышения точности и эффективности.</li> <li>Поддержка качества данных, выявление и устранение несоответствий.</li> </ul> <p><strong>Мы ожидаем от соискателей:</strong></p> <ul> <li>Высшее образование в области математики, статистики, компьютерных наук, аналитики данных или смежных дисциплин.</li> <li>Опыт работы дата-аналитиком или на аналогичной позиции от 2 лет.</li> <li>Глубокие знания в области анализа данных, статистики и моделирования.</li> <li>Опыт работы с SQL, Python, R или аналогичными языками и инструментами для обработки данных.</li> <li>Навыки работы с BI-инструментами (например, Power BI) для визуализации данных.</li> <li>Способность работать с большими объемами данных и выявлять ключевые инсайты.</li> <li>Будет преимуществом: опыт работы в строительных/девелопмент компаниях, опыт администрирования Power BI, знание и опыт использования Python, опыт работы с системами баг-трекинга и вики (JIRA и Confluence).</li> </ul> <p><strong>Почему стоит работать с нами:</strong></p> <ul> <li>Можно выбрать формат работы: в офисе класса А (в Москве находится на Арбате, БЦ «Мидланд Плаза»), в гибридном режиме или удаленно;</li> <li>Конкурентный доход (обсуждается на финальном собеседовании);</li> <li>В ГК ФСК входят аккредитованные IT-компании, есть возможность трудоустройства и получения всех льгот IT-специалистов;</li> <li>Официальное оформление по ТК РФ;</li> <li>Комфортный график работы 5/2 с 09:30 до 18:00;</li> <li>ДМС со стоматологией после прохождения испытательного срока, возможность консультации у корпоративных психологов;</li> <li>Корпоративное и индивидуальное обучение, возможность участия в конференциях и широкий доступ к материалам, корпоративный учебный портал и библиотека;</li> <li>Культура наставничества от Центров компетенций: мы поддерживаем и обучаем новых сотрудников, решаем все вопросы совместно;</li> <li>Насыщенная корпоративная жизнь, развитая сеть внутренних комьюнити: можно обмениваться опытом с коллегами, участвовать в марафонах или книжном клубе, в благотворительных акциях и других активностях;</li> <li>Дополнительные бонусы: корпоративные карты питания, скидки на абонементы в фитнес-клубы, партнерские предложения и скидки в сетях отелей, банках и др.;</li> <li>Программы лояльности и скидки для сотрудников на квартиры и апартаменты в проектах ГК ФСК.<br /><br />Мы будем рады видеть вас в нашей команде!</li> </ul>","['MS Power BI', 'Анализ данных', 'SQL', 'Аналитика', 'Базы данных', 'BI', 'Data Analysis', 'ETL', 'DWH', 'Python', 'MS SQL']"
717,Data scientist,М.Видео-Эльдорадо,Москва,От 3 до 6 лет,Удаленная работа,Полная занятость,Дата-сайентист,null,"<p><strong>«М.ТЕХ» - АККРЕДИТОВАННАЯ ИТ-КОМПАНИЯ В ГРУППЕ «М.ВИДЕОЭЛЬДОРАДО»</strong></p> <p><strong>КОМАНДА «М.ТЕХ»</strong> разрабатывает более 100 инновационных ИТпродуктов на основе современной микросервисной и облачной инфраструктуры, больших данных, биометрии, ИИ и машинного</p> <p>обучения для улучшения качества жизни десятков тысяч сотрудников и миллионов покупателей по всей России.</p> <p><strong>Data Science</strong> направление в MTech делится на несколько команд, между которыми возможна ротация:</p> <p>• Команда DS платформы (Рекомендательные системы, Прогноз спроса, Feature Store, ML Ops инициативы, задачи маркетинга: Uplift, сегментация клиентов, программа лояльности и т.п.)</p> <p>• Команда платформы дата-моделей Бизнес юнита (Ассортимент, Ценообразование, Промо)</p> <p>• Команда NLP и CV (Текстовая аналитика, Видео-аналитика) Сейчас мы активно ищем DS специалистов на развитие моделей прогноза спроса и моделированию эффективности промо акций.</p> <p><strong>СТЕК: </strong>Postgres, DS/ML библиотеки (CatBoost, XGBoost, LightGBM, Prophet, W2V), Docker, Python, FastAPI, Apache Airflow и Gitlab CI/CD, Streamlit/Plotly Dash</p> <p><strong>ЧТО ТЕБЯ ЖДЁТ:</strong></p> <ul> <li>Прогноз спроса для цепочек поставок</li> <li>Моделирование эффективности промоакций</li> <li>Ассортиментное планирование</li> <li>Задачи ценообразования (Модели эластичности спроса от цены, Сервис подбора товаров-аналогов)</li> </ul> <p><strong>ЧТО МЫ ОЖИДАЕМ ОТ КАНДИДАТА:</strong></p> <ul> <li>Хорошо владеешь инструментами DS/ML (знаешь теорию и практику);</li> <li>Знаешь SQL (Postgres)</li> <li>Имеешь опыт применения DS/ML в реальных задачах, где твоя работа принесла пользу бизнесу;</li> <li>Хорошо владеешь Python (DS/ML библиотеки, ООП, Docker, FastAPI);</li> <li>Пишешь аккуратный код по PEP8 и не забиваешь на документацию;</li> <li>Можешь сделать дашборд на Streamlit/Plotly Dash;</li> <li>Имеешь опыт работы с Apache Airflow и Gitlab CI/CD;</li> </ul> <p><strong>ЧТО ТЫ ПОЛУЧИШЬ:</strong></p> <ul> <li>Продукты, признанные на рынке (несколько премий за Лучший Интранет, хит-парад премий за лучшее ИТ-решение в ритейле) и имеющие амбициозные планы на развитие;</li> <li>Конструктивный диалог и возможность внедрять свои идеи, если они способствуют достижению общего результата;</li> <li>Команду увлеченных профессионалов, которая открыта к поиску нового;</li> <li>Конкурентную заработную плату, гибкое отношение к рабочему месту (посещение офиса на м. Красносельская в Москве на гибриде, но ты можешь работать удаленно из любой точки):</li> <li>Приятные скидки в магазинах М.Видео-Эльдорадо;</li> <li>ДМС со стоматологией.</li> </ul>",[]
718,Data scientist (Департамент развития отношений с клиентами),Банк Русский Стандарт,Москва,От 1 года до 3 лет,Полный день,Полная занятость,Аналитик,"{'from': 220000, 'to': 'null', 'currency': 'RUR', 'gross': True}","<p><strong>Обязанности:</strong></p> <ul> <li>Построение скоринговых моделей в Python</li> <li>Постановка готовых моделей на ежедневный расчет</li> <li>Подготовка отчетов и рекомендаций по использованию моделей.</li> <li>Регулярное отслеживание характеристик и валидация моделей</li> <li>Формирование отчетов и сегментации клиентской базы;</li> <li>Формирование предложений по внедрению новых подходов к сегментации клиентов Банка;</li> <li>Подготовка презентаций и визуализация данных.</li> <li>Интеграция моделей в продажи</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в Банках или Аналитике от 1 года;</li> <li>Опыт построения скоринговых моделей от 1 год;</li> <li>Знание SQL( желательно - Oracle PL/ SQL);</li> <li>Python - обязательно;</li> <li>MS Excel: формулы, графики, сводные таблицы - уверенный пользователь;</li> <li>Опыт работы с большим объемом информации - сбор, систематизация и обработка статистической информации;</li> <li>Подготовка аналитических материалов, презентаций, визуализация данных.</li> <li>Аналитический склад ума, внимательность, ответственность, готовность работать в условиях сжатых временных рамок, умение грамотно изложить мысли;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Достойный уровень оплаты труда (обсуждается индивидуально по итогам собеседования с руководителем);</li> <li>ДМС;</li> <li>Официальное трудоустройство (согласно ТК РФ);</li> <li>График работы: 5/2 (10:00-19:00)</li> <li>Корпоративные скидки сотрудникам от компаний – партнеров (спорт, красота, здоровье, путешествия, рестораны и прочее). Корпоративный волейбол, футбол;</li> <li>Офис располагается в шаговой доступности от ст.м. &quot;Партизанская&quot;, МЦК - &quot;Измайлово&quot; (7 мин.).</li> </ul>","['Аналитика продаж', 'Oracle Pl/SQL']"
